"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Nsuper",28479.3580222222,2641.93836792964,25460,26785,27881,29424,35141.0499986128,1.01845450527112,250
"delta[1]",0.351875261612698,0.494871358078937,0.00657114536837995,0.061771229305844,0.179002040575353,0.437057946503813,1.73913152470157,1.00561962662301,640
"delta[2]",0.943223425124147,0.999232702556212,0.033152917192645,0.268178004318944,0.634707781055056,1.27336692705653,3.62128545982999,1.00671260806503,460
"delta[3]",0.474655007510721,0.648596919978502,0.00820712787600477,0.0825332293900744,0.239723433988909,0.604381203541005,2.26185046126903,1.01381488626247,210
"delta[4]",0.195024125694008,0.242955170911864,0.00614590566988949,0.0502953995653693,0.112382014987072,0.238024725518425,0.904184305995373,1.03894768115925,70
"delta[5]",0.0898541460489864,0.0612791350334675,0.00646155107772147,0.0508696271191482,0.081049003432128,0.115416814896565,0.238477014034962,1.07327201792238,50
"delta[6]",0.328135114641052,0.139082910733277,0.133123766969239,0.232417601553514,0.302322094455503,0.395215440527903,0.6713527883155,1.00182720811306,2900
"delta[7]",0.588685055322552,0.181144947860682,0.291308172025539,0.459895447469477,0.569698097682232,0.696652986617259,0.99796254017722,1.00261669594569,1500
"delta[8]",0.634371839936624,0.16726720980358,0.350562171540509,0.513851670426047,0.620118241268511,0.73667612504595,1.00558629955714,1.00343036338737,1000
"delta[9]",0.496889201077949,0.140683493301968,0.27080166461223,0.396851950418148,0.480286483444714,0.57772439061181,0.814865088282763,1.00298121599234,1200
"delta[10]",0.994473578370908,0.259383607322918,0.557242812573262,0.808953943304425,0.970674943699379,1.15250250041938,1.56805812459009,1.00307610905379,1200
"delta[11]",2.21633016427067,0.557289456120505,1.26889662249284,1.81790062988488,2.16582430441886,2.56547513627052,3.44062756156662,1.00342477752942,1000
"delta[12]",2.34430674548495,0.585910059846763,1.34094683190163,1.92505229186519,2.2939948925766,2.70843134865931,3.62089286235406,1.0034957320801,990
"delta[13]",3.34306865287257,0.819548611234203,1.93732358333633,2.75716696086432,3.27856736261128,3.85277744297286,5.13419065165988,1.00319286191233,1100
"delta[14]",3.85700732144218,1.03504046900635,2.13351615368116,3.11801782419151,3.75207854387723,4.4853793521073,6.16600453690306,1.00240641541878,1700
"delta[15]",1.73908118001422,0.59180287514568,0.761816856377622,1.31615654193836,1.6767370691014,2.09238757620642,3.06419340180895,1.00256156569916,1600
"delta[16]",0.490142005525504,0.256011274168254,0.059167712075303,0.305075487186208,0.46740214137625,0.650476042491156,1.05201078811229,1.00186018923312,2800
"delta[17]",0.742832459848352,0.210624627399523,0.390755058247682,0.591939061807356,0.722297837377323,0.871847065239533,1.20942294126141,1.00267881090374,1500
"delta[18]",0.0973505659224319,0.0692423681643117,0.00485929792730178,0.0436330458229768,0.0851827084204619,0.137542209455949,0.262564993897777,1.00121759582915,9500
"delta[19]",0.128992079173751,0.0472026692198031,0.053596548977649,0.0951628115139991,0.123422004358098,0.156450951469211,0.236862711509356,1.0040711056618,810
"delta[20]",0.0772310976195007,0.0242382185940177,0.0384165442316144,0.0599447271855182,0.0743046943835693,0.0913969659041679,0.132250792455235,1.00222229956474,2000
"deviance",464.460145274369,11.8499527653527,443.29442120171,456.112770002044,463.791983008735,472.039605211517,489.62342144804,1.00236726893215,1800
"p[1]",0.0157662813303553,0.0287139516023296,0.000651922137506901,0.00249052415037174,0.00550502117985253,0.0143216295633507,0.12314093329854,1.00902141541614,400
"p[2]",0.0157662813303553,0.0287139516023296,0.000651922137506901,0.00249052415037174,0.00550502117985253,0.0143216295633507,0.12314093329854,1.00902141541614,400
"p[3]",0.140318709619611,0.216764041818974,0.00212372723298582,0.0131506777528244,0.0445587347439021,0.144329165694646,0.762866197741515,1.03342232092636,100
"p[4]",0.44831323179065,0.315679530424253,0.057870930505319,0.161293828543511,0.344264546559093,0.752756259590719,0.99508021948182,1.29511535062721,13
"p[5]",0.772047559077912,0.217488501243788,0.268543536242826,0.627438701411257,0.841085131735309,0.961257511482467,0.999623242432649,1.00498517623271,920
"p[6]",0.491441162841244,0.152739947108557,0.222962929621407,0.376920577212449,0.482854062355946,0.598108370487782,0.80162843772347,1.00098035154727,45000
"p[7]",0.602425510320291,0.0879624543892598,0.430318253512712,0.54192607627762,0.602960012706123,0.663546859731764,0.772682841997253,1.00102442907724,36000
"p[8]",0.865447506075238,0.0574762164776543,0.736189621829676,0.82993410209318,0.872389487382424,0.907727396804594,0.957028780546076,1.00100001327183,45000
"p[9]",0.735066322380536,0.107983127845791,0.504295500580259,0.663468325411616,0.743657663579881,0.814486067353433,0.919338813300381,1.0009756718547,45000
"p[10]",0.764676405436391,0.0705054956354264,0.616024528493135,0.718268923512792,0.76901477218343,0.815442649027572,0.889916795700879,1.0010009102546,45000
"p[11]",0.558778456291584,0.0432755555987899,0.474190498815086,0.529583693161986,0.558943787421213,0.58835883400312,0.642887362356902,1.0009749273219,45000
"p[12]",0.776878559852157,0.0367746155781332,0.701504220016789,0.752677807012681,0.778231537722634,0.802502764864729,0.845807270966972,1.00109407610103,18000
"p[13]",0.637922342954503,0.0494863485779142,0.538260524473285,0.604717942309024,0.638972497315611,0.672167003820687,0.731580797163336,1.00151112267219,4500
"p[14]",0.392382673065363,0.0518662213450517,0.29433950326714,0.356520581100029,0.391218407260771,0.426753319172857,0.497187609011283,1.00131069367039,7000
"p[15]",0.404763395676716,0.0446295023115606,0.327294323996757,0.372223390369421,0.402116206726101,0.433974895086902,0.498747239221824,1.00116777983203,12000
"p[16]",0.781150719773,0.0436990649313846,0.69023557730772,0.752366478441662,0.783177668043222,0.811852401175866,0.860575470685832,1.00103537739883,31000
"p[17]",0.371472702401502,0.0392862915308564,0.305773302958479,0.343335941094769,0.36738054992273,0.395743258573903,0.458003945042734,1.00102818312262,34000
"p[18]",0.707403067630052,0.0699926786359723,0.560631309759258,0.661517177258252,0.71080073206387,0.757255273336042,0.83315558422477,1.00108628766485,19000
"p[19]",0.54441693458786,0.0760419836219986,0.402196300769393,0.491990621172333,0.539524824951571,0.595045752360564,0.696019147234063,1.04838125610671,64
"p[20]",0.54441693458786,0.0760419836219986,0.402196300769393,0.491990621172333,0.539524824951571,0.595045752360564,0.696019147234063,1.04838125610671,64
"pent[1]",0.0174403803335099,0.0234254719539604,0.000347046853622363,0.00318331965903568,0.00911226216363536,0.02204319787715,0.0839773916160747,1.00612684046297,570
"pent[2]",0.0468231673929822,0.047219265449352,0.0017802027718331,0.0138368491966156,0.0324879649046133,0.0638710242652862,0.171435839444426,1.00743924428877,410
"pent[3]",0.0237306259436547,0.0313093576625303,0.000438952877858628,0.00424026110235586,0.0122222310529608,0.0304726910879634,0.111178151341509,1.01479428668715,200
"pent[4]",0.00967159572504516,0.0115294298550352,0.000321153736955683,0.00260683261948231,0.00575536623709946,0.0120122506010885,0.0430898506765618,1.03871838323777,71
"pent[5]",0.00446554055265111,0.00279354241329422,0.000337128661436213,0.00272768098629842,0.00422267536499104,0.00563744111736739,0.0112212961998662,1.08118155889334,45
"pent[6]",0.0162897586406234,0.00574536047175464,0.00799163183769842,0.0124203101789039,0.0152878303559674,0.0190155395287459,0.0304911175923052,1.00239497753803,2500
"pent[7]",0.0292413647877995,0.00606393079214598,0.0176813102574988,0.0253122727752074,0.0290416828959127,0.0329880294979481,0.0417025327737353,1.00248668933823,1600
