"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Nsuper",30080.4013333333,626.722239836393,28879.974999578,29642.7499968373,30076,30494,31345,1.00417996729843,740
"delta[1]",0.00343788842660116,0.00204376734405073,0.000782422002876203,0.00197350349242876,0.00299756951045968,0.00439582498078082,0.00859572924722747,1.00181403999547,2400
"delta[2]",0.0306581837301952,0.0104747467772056,0.0142379037881744,0.0230502980236083,0.0292160706787938,0.0368657167028307,0.0544787590155455,1.00680240096986,420
"delta[3]",0.205213476997818,0.0574519214415864,0.106200799525451,0.164512138598877,0.20025491421572,0.240287775693045,0.331747080691201,1.00890480652204,310
"delta[4]",0.542393269839429,0.147918337360035,0.287808991354755,0.436845985793544,0.52974111051871,0.634060552875486,0.867860335901493,1.00881554788363,320
"delta[5]",0.376433294618052,0.104676858769331,0.196902752295064,0.302633683914451,0.36681137888023,0.439605705317864,0.609848851700978,1.0088518592588,320
"delta[6]",0.16607166081054,0.0483306538816318,0.0838308496012993,0.13226025585422,0.161046306628287,0.194855754984906,0.275093130785006,1.00832510479061,330
"delta[7]",0.588264199699546,0.161108243078998,0.310765239408062,0.47479383055544,0.574048444944416,0.687357251602051,0.944012769588352,1.00898823292176,310
"delta[8]",1.02558909841482,0.278437798413283,0.546560381202701,0.830793662783179,1.00184918795396,1.20000737150936,1.64433117140794,1.00916831884699,300
"delta[9]",3.86199089439281,1.03992629510995,2.05589713207994,3.12465139371037,3.77244814856922,4.49948708773467,6.17300245833661,1.00895368093956,310
"delta[10]",3.66690063394629,0.987795326543903,1.96561988936232,2.96691065915752,3.58835254881266,4.27860478531254,5.86619736445363,1.00932139107296,300
"delta[11]",2.6970119031158,0.727978900465791,1.44023436246008,2.18154349121524,2.63991792208799,3.14604292125565,4.32069110574068,1.00905741655022,310
"delta[12]",1.46633573656673,0.396776341896108,0.782104632370635,1.18145307336664,1.43396893705047,1.71094500312389,2.34066623477855,1.00858657253394,320
"delta[13]",0.424097707685481,0.120366149000729,0.217799642673744,0.337394779708902,0.413173367470186,0.498530587554675,0.692974574576253,1.00868709531884,320
"delta[14]",0.0516267803010988,0.0247269356387634,0.0112468571334867,0.0339880463025349,0.0487852048715426,0.066105106797371,0.108200325147938,1.00430732266353,710
"delta[15]",0.0475492058072025,0.017394789627313,0.0199463371774697,0.0352071386932869,0.0453934711098548,0.0574804515622744,0.0865696475881167,1.00545079456123,540
"deviance",607.835505703258,7.84809743889816,594.435510068787,602.254694048058,607.15491501142,612.766603929116,624.784093396981,1.00112571567335,7200
"p",0.584247969725865,0.0200716047352616,0.54580280221598,0.57052108361585,0.584145464621634,0.59793143853706,0.62416095203528,1.00524428486486,560
"pent[1]",0.000226501470691136,0.000114858034597165,6.10000079599276e-05,0.000142803711799119,0.000207605725744555,0.000287935011328429,0.000502638730922029,1.00100806281851,9000
"pent[2]",0.00202365330998975,0.000417000307521578,0.00128960925960262,0.00172790096710369,0.00199806109336279,0.00228690009243893,0.00292419376482101,1.00102426997206,9000
"pent[3]",0.0135442807767918,0.0010830207126996,0.0114999438520421,0.0127835609902355,0.0135263091912914,0.0142596454349919,0.0157380140463346,1.00156548433927,3200
"pent[4]",0.0357973379580339,0.00176237485486551,0.0324437447887583,0.0345585885135286,0.0357356632436276,0.0369806795495551,0.0393313318461077,1.00111054471209,7500
"pent[5]",0.0248363444785295,0.00164187934237657,0.0217066088246004,0.0237257388459386,0.0248138598291075,0.0259319746633619,0.0280933518454895,1.00080133019862,9000
"pent[6]",0.0109645168718264,0.00123520631304148,0.00861423541164551,0.0101122922315841,0.0109482630208015,0.0118100206666544,0.013423898606216,1.00162011443296,3000
"pent[7]",0.0388150496321543,0.00190641679786596,0.0351615372767392,0.0375074958185671,0.0387851210077895,0.0400806791537279,0.0426236059327366,1.00117115103331,6300
"pent[8]",0.0676720876262329,0.0024956166600528,0.0629400458733394,0.0659328053854149,0.0676365318861156,0.0692998551020075,0.0727546920624887,1.00123511174145,5500
"pent[9]",0.254858261904099,0.00523555559747262,0.244758718720286,0.251329142649462,0.254745144370073,0.258292729280957,0.265220131670395,1.0020482202044,2000
"pent[10]",0.241975909558821,0.00465274987912749,0.23303302877826,0.238794604056774,0.241947628984222,0.245117292479437,0.251210588016741,1.00109329256599,7900
"pent[11]",0.177965380103516,0.00441480946157954,0.169352329407993,0.175004869939601,0.177943734498072,0.180955593394741,0.186505095013188,1.00093975810269,9000
"pent[12]",0.0967787542221264,0.00370101647747638,0.0893893826684449,0.0942983595952704,0.0967817792296957,0.0993104228950207,0.103917112825118,1.00216429564297,1800
"pent[13]",0.0279944329575384,0.00264975723853283,0.0228137690537481,0.0262108535263548,0.0279821406412794,0.0297736414473958,0.0331783043382311,1.00284986002332,1200
"pent[14]",0.00341074517074644,0.00130967290772705,0.00083958060962711,0.00251826633622411,0.00341203735756702,0.00430739178147375,0.00598173292280733,1.00135610514026,4300
"pent[15]",0.00313674395890263,0.000747328977239533,0.00172374295643269,0.00261428861113567,0.00311379285067902,0.00363879655747435,0.00463183023454117,1.00084122467761,9000
"phi",0.481503773209614,0.011276821244098,0.459525329767149,0.473673176058756,0.481586142713516,0.489077419877659,0.503474058790048,1.00146422864739,3600
