"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Nsuper",14442.3132222222,480.073150937184,13608.9749991044,14117,14403,14727,15502.0999874231,1.00199821165089,2000
"delta[1]",0.0612976130163831,0.0873794971030546,0.00824676229843841,0.0207429210629742,0.0368771621453327,0.0692376529281771,0.257388509334753,1.01268386486083,240
"delta[2]",0.0844232519136626,0.083972045001032,0.0177949325274581,0.0387872460425302,0.0597528346105004,0.0985609934967099,0.297429743294785,1.00488793132973,620
"delta[3]",0.325517756982938,0.298290919542405,0.0491161861583503,0.136020073562069,0.229165607547864,0.411821665787503,1.15543729168895,1.00279857609925,1200
"delta[4]",0.355195289545754,0.231496979215737,0.0368122534325032,0.189268837141134,0.309607349847619,0.469379919585381,0.925270134838911,1.00257485633591,1400
"delta[5]",0.268139925553546,0.153412152395302,0.0248513758750235,0.15830134498647,0.25276826256504,0.353467901401899,0.624250579037278,1.00177962351576,2600
"delta[6]",0.110699557930296,0.0645636751151232,0.00918075367925239,0.0644771270293421,0.10436126880531,0.148046467290182,0.255103456173664,1.00116899242764,6400
"delta[7]",0.354257981044117,0.160105842217645,0.162223818711964,0.249584996779244,0.319027146230412,0.415919179884853,0.774366506525367,1.00249999114138,1500
"delta[8]",0.874437975285286,0.260483243271104,0.44928492875189,0.691081722577768,0.844524050893014,1.02473324237404,1.48086427986654,1.00380830737072,830
"delta[9]",1.82337971647472,0.47174564919424,1.02242292926578,1.48994750860367,1.77862010484302,2.09814297339079,2.87651953492631,1.00311182356308,1500
"delta[10]",3.54073981407293,0.86975156302949,2.0826296923965,2.93617573522922,3.45171210009026,4.06862839992007,5.46578324283612,1.00459857952599,730
"delta[11]",3.19534709431453,0.821652823583748,1.82345444978915,2.61886574757402,3.11478276052638,3.68484628837689,5.04409759733382,1.004133066269,750
"delta[12]",3.27579061564507,0.852040937619728,1.85161674936031,2.66663582854776,3.19707331167159,3.78733626067288,5.16955408745426,1.00507917909324,580
"delta[13]",2.20832860668439,0.662037903230921,1.12560125873964,1.73684117859647,2.13328094424415,2.58926221129007,3.74062744487616,1.00234558884971,1600
"delta[14]",0.397738762604057,0.241861124205313,0.0324665098562778,0.216709762305687,0.367400608807913,0.541648022118105,0.954084617694574,1.00086785780765,9000
"delta[15]",0.294024034799587,0.151655443073796,0.0487747006016754,0.186976176264565,0.276252807128455,0.382173602854624,0.639982948826659,1.00216875260153,8200
"delta[16]",0.630481226435899,0.270816804561152,0.243247800007327,0.439350934194783,0.58388895380829,0.769399829947114,1.29110733589703,1.00148625495443,3500
"delta[17]",0.126227804791068,0.139790500542724,0.00320976252193553,0.0358554720705641,0.0845824390973785,0.166447575841067,0.492771211944221,1.00134376950616,4400
"delta[18]",0.221727430288691,0.203353301089627,0.0126407162647664,0.0879106278638993,0.165250133125117,0.293041461242456,0.76659282998304,1.00224915479002,1700
"deviance",406.415274333593,11.4216144629431,385.848965631567,398.432249868091,405.790000352099,413.612238443588,430.912640000012,1.0010108254087,9000
"p[1]",0.390957509935993,0.271059536633218,0.052719047998929,0.177102411665691,0.310353358304458,0.560224866233191,0.989313874127803,1.01146027937754,260
"p[2]",0.390957509935993,0.271059536633218,0.052719047998929,0.177102411665691,0.310353358304458,0.560224866233191,0.989313874127803,1.01146027937754,260
"p[3]",0.494641996542603,0.305174642642676,0.0737486808450513,0.216233159700955,0.440434599890939,0.779396050656722,0.997214549167617,1.00325474468946,1000
"p[4]",0.208535095281444,0.11260058156923,0.0712137458041318,0.126449633941691,0.180093610237746,0.262214260366044,0.50450542363329,1.0010366907051,9000
"p[5]",0.513310266270199,0.141471432457373,0.272924688132956,0.406845381833699,0.501865081691053,0.610160561454516,0.809057885280951,1.00093112112042,9000
"p[6]",0.755345907196362,0.159814872059321,0.387384599627759,0.654743335471267,0.784091694976824,0.881900907250728,0.976781909707095,1.00148813007506,3500
"p[7]",0.69274341148711,0.177239028834357,0.310106139349778,0.569824549658073,0.712882487882321,0.834948364807816,0.967299882033546,1.0025629517268,1400
"p[8]",0.621811433182843,0.0980364788375571,0.424690064602171,0.55665245472722,0.624701560599552,0.690196649237225,0.804221095981789,1.00095239989985,9000
"p[9]",0.522300232595692,0.0548680632891722,0.414851699703856,0.484015933720668,0.522157657850273,0.56052011688664,0.630032992770185,1.00102044391302,9000
"p[10]",0.58136715323586,0.0462582536348481,0.488874975493732,0.550052657478679,0.581437819816627,0.612584286659816,0.670629684219477,1.00097191424723,9000
"p[11]",0.508836562513615,0.0419706389366749,0.426993090494174,0.48061385497181,0.508086502622461,0.537051727526687,0.591082831005518,1.00093838180413,9000
"p[12]",0.464674956172574,0.0495971459920168,0.371244473929802,0.430279240715456,0.463804644090681,0.498214615890749,0.562832547248114,1.00170021682878,2700
"p[13]",0.36312467335853,0.0437752776101579,0.28402871567003,0.332489117946011,0.360642084572713,0.390729778000589,0.455823562530047,1.00086291621769,9000
"p[14]",0.449478291828988,0.0585819883941727,0.339109267363633,0.408497650072281,0.448669332308188,0.48958114271906,0.563819734702462,1.0008655086642,9000
"p[15]",0.445759624661525,0.0923672234982747,0.295044037238196,0.37720404150129,0.434840667913552,0.504986367481462,0.64583516775366,1.00151136436436,3400
"p[16]",0.258665458075389,0.103265588112315,0.107232625828986,0.177034893565116,0.242913734058439,0.325106377008284,0.484958022796787,1.00233652586743,1600
"p[17]",0.066866018183446,0.0313042192789112,0.0202957245248286,0.0436050452675383,0.0634435181391632,0.085346150609915,0.141587645553505,1.01340674663291,200
"p[18]",0.066866018183446,0.0313042192789112,0.0202957245248286,0.0436050452675383,0.0634435181391632,0.085346150609915,0.141587645553505,1.01340674663291,200
"pent[1]",0.0033360034101098,0.00422610224284361,0.000515371402162499,0.00117195103615391,0.00210515027033236,0.00390446271601999,0.0135177480870381,1.01024939166497,290
"pent[2]",0.00464960075490711,0.00434520730829303,0.0010871404897525,0.00224379170493123,0.00331796123492403,0.00541931598424223,0.0162669661735611,1.00338101070596,960
"pent[3]",0.0180028819459949,0.0157475309389135,0.00287531245094505,0.00777070992751219,0.0128067613256988,0.0227115499943191,0.0602077883769741,1.0023475531062,1600
"pent[4]",0.0195607289495694,0.011567787508208,0.00216062312210679,0.0111967681350899,0.0176968256907893,0.0259967559211431,0.0466650610163908,1.00282262860921,1200
"pent[5]",0.0147768721062785,0.00757173811157567,0.00150361356438765,0.00940051672586376,0.0145420318863967,0.0194711544743489,0.0308110409276112,1.00218907421677,2800
"pent[6]",0.00610198420093185,0.00322579626871844,0.000517188028660167,0.00383003938085403,0.00596711553038353,0.00807408248006109,0.0129993305746477,1.00086953172708,9000
"pent[7]",0.0195129917415717,0.00724795934644384,0.0108687846620258,0.0147785637922432,0.0178047148560878,0.0221775990752035,0.0389638035100813,1.00230107414987,1600
"pent[8]",0.0482001055636879,0.00926728702295763,0.0326560592089233,0.0422293078195687,0.0471634872073187,0.0534286877312868,0.0691963229838085,1.00351549934353,2500
"pent[9]",0.100529936927468,0.0126172529460073,0.0771133197665422,0.0919761860450927,0.0999944605606955,0.108734273503727,0.126106892352578,1.00164065259767,2900
"pent[10]",0.195200371581308,0.018760880581276,0.160725582012509,0.182126903069789,0.194344444923397,0.207158790878336,0.233864479523152,1.00122756965204,5500
"pent[11]",0.175964137873547,0.0197132171539103,0.137810334799638,0.162617058853922,0.175680220281607,0.188864303469523,0.214970288730191,1.00111579156675,7400
"pent[12]",0.180599686855416,0.0235098515532064,0.136669560011653,0.164275358112914,0.179447682777606,0.195991696062057,0.229547599880431,1.00210274544344,1900
"pent[13]",0.121720099969202,0.0229855201888256,0.0753316715272298,0.106426907556324,0.122208039385538,0.137544610974822,0.165913091054007,1.0012273144105,5500
"pent[14]",0.0218769144792925,0.0119328637847447,0.00199588684210661,0.012985203489091,0.0210633068488872,0.0299144507639478,0.0474480483420619,1.00103725175176,9000
"pent[15]",0.0161951812986599,0.00728905702617031,0.00286586495558453,0.0110913922971076,0.0158907391248365,0.0209282379093788,0.0318526784073412,1.00244430962776,9000
"pent[16]",0.0346614843670483,0.011995433747764,0.0158693650221002,0.02638698681878,0.0329144469479972,0.0414040202869043,0.0627388547959583,1.00126616604551,5100
"pent[17]",0.00692036751368323,0.00719005744647187,0.000181650371016659,0.0020790279433282,0.00487405498166428,0.00936166329212392,0.0265580247933505,1.00146247302557,3600
"pent[18]",0.0121906504613219,0.010474177113201,0.000741618655138447,0.00509604402383303,0.00941208125512201,0.0163695039074524,0.0399413690021002,1.00240738700793,1500
"phi[1]",0.669404697462088,0.262323358190437,0.156806431569425,0.452456711581936,0.710226645662324,0.913632141142823,0.999016457270402,1.00526213202853,730
"phi[2]",0.215592765866723,0.206761229384754,0.0112484534914432,0.0701869035247232,0.148069085261455,0.286847770565829,0.841687740827242,1.00126196128775,5200
"phi[3]",0.685421380199736,0.220153750591381,0.264488638309129,0.51075137421655,0.698422651423785,0.884420626654073,0.998277578076606,1.00137867762442,4200
"phi[4]",0.439155240224731,0.145416852604283,0.221177871530648,0.336591452642946,0.41562817822162,0.51687529137127,0.796307453331002,1.00087962287947,9000
"phi[5]",0.389832614950416,0.122738121742983,0.210438409963926,0.30842720648833,0.36869918974874,0.44741013256504,0.698654048654394,1.00109146309349,7900
"phi[6]",0.345876674022257,0.128046468280796,0.137191087544083,0.253154640638929,0.332809828225234,0.421578201178092,0.630747115032833,1.0012142740875,5700
"phi[7]",0.68255223139265,0.0957939164596028,0.4997422082012,0.618219532667808,0.68201239568647,0.744948229425417,0.877108695707941,1.00085582131426,9000
"phi[8]",0.779566412683652,0.0660267614487853,0.659540431783597,0.732829917535271,0.776018325160485,0.822094719091192,0.918151238939048,1.0009188338534,9000
"phi[9]",0.569871983869002,0.0436177548392353,0.48716913197199,0.539694994415717,0.569244563446548,0.598798316135807,0.657045252959551,1.0010929266119,7900
"phi[10]",0.69602420765281,0.0506757384888599,0.603511556478635,0.660754885637317,0.693432656832963,0.728902863831416,0.803403033137112,1.00080025150653,9000
"phi[11]",0.685233518331724,0.0742557861105947,0.552072988172795,0.634008138982307,0.681174445605548,0.732291147329507,0.845326678712186,1.00092396102882,9000
"phi[12]",0.566499782144147,0.0670081112459681,0.448427070023095,0.519603475050158,0.56197610596005,0.608157486839683,0.710567699061934,1.00094851697291,9000
"phi[13]",0.441290392743002,0.0632083570362097,0.32907050084727,0.396893394116845,0.437327023932565,0.479422772766536,0.577463731776657,1.00093908573562,9000
"phi[14]",0.799049196336574,0.146113411180033,0.507262537330173,0.687262533075866,0.810120336904699,0.930766329353604,0.99902756558221,1.00157722881732,3100
"phi[15]",0.55812772290338,0.234926502274556,0.207103521736783,0.365539201029586,0.513441735706794,0.737874135548099,0.99535499071892,1.00172101071981,2700
"phi[16]",0.722998230936082,0.236172141160289,0.233365406230305,0.540699999919075,0.775132322020442,0.939327161506726,0.999488076808809,1.01060178901079,350
"phi[17]",0.872160563278611,0.13649442712147,0.518939487210081,0.802686798267314,0.921325023578554,0.980461665702828,0.999783405985291,1.0011922393918,6000
