"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Nsuper",31732.5396666667,1395.92222054924,29670,30811,31519,32398,35034.0249996521,1.0053748783959,830
"delta[1]",0.0461494619074866,0.0472673805541884,0.0026198179592827,0.0156922616771362,0.0320109771156145,0.0603428973196018,0.171644302699015,1.00779638422556,550
"delta[2]",0.641519793169769,0.567760684663473,0.0594149385171695,0.257523582643241,0.477659963516504,0.844199238522323,2.16805282744705,1.00787578006495,470
"delta[3]",0.216275999643918,0.18231868368014,0.00811693037689791,0.0818956238105599,0.171485948446253,0.299352341761775,0.691087811641652,1.00303123413389,1200
"delta[4]",0.433181946402558,0.218644127039974,0.0641823130183664,0.281768406848208,0.411960299910241,0.559628693038271,0.928936944365066,1.00268188553559,1500
"delta[5]",0.27575470837241,0.109405084767452,0.0946325703834797,0.199099804761204,0.264602751075715,0.339870336647478,0.522244305626662,1.00206358375396,2300
"delta[6]",0.369893858743227,0.139422807917928,0.166964084708356,0.27113349361441,0.346709410746581,0.44327233169822,0.707726200270036,1.00305921103194,1200
"delta[7]",0.538057478265698,0.17554741139513,0.260581799803705,0.412261363977716,0.516461604854426,0.638280539801426,0.94321962882902,1.00351618524584,980
"delta[8]",1.00357623890474,0.294024784938296,0.521372299904491,0.791794046531809,0.97438874771179,1.17939897026339,1.66124530042338,1.00382343294078,870
"delta[9]",3.11374870854311,0.854514172491808,1.65853997257624,2.50663627236402,3.03756892504112,3.63397547823644,4.98539900254979,1.00424588498185,760
"delta[10]",2.48194240180269,0.687165736597923,1.32682225808947,1.98667237589539,2.42247067468379,2.90591269127603,3.99187544309118,1.00401556739535,820
"delta[11]",2.38949785279864,0.67239008712432,1.25966535440377,1.91447226439302,2.32704560271521,2.79447987059611,3.87929972021103,1.00421544080986,770
"delta[12]",3.05958272917975,0.874993051733479,1.60772173705758,2.4307952735318,2.97647421470032,3.58766646308153,5.01036105101603,1.00371319860968,910
"delta[13]",0.216415159794171,0.166223627588182,0.00929714588992401,0.0883728593000159,0.18036036827574,0.307076920176713,0.620873542934685,1.0012166419786,9500
"delta[14]",0.105689336246598,0.0792820495112933,0.00526966397735693,0.0466863926639874,0.0895985317019515,0.145676594231944,0.303736238721983,1.01428869626464,190
"delta[15]",0.100254354045611,0.0516669493566908,0.0255419429008386,0.0656549244961415,0.0911608863980236,0.124492795859104,0.227322449053228,1.01177415156961,5300
"deviance",372.017648756633,10.3885775840163,353.595365452711,364.662195158095,371.311429508571,378.655235909227,394.078905010435,1.00331030391843,1100
"p[1]",0.0898287706509848,0.132530958225341,0.0139281286943247,0.0300543017251712,0.0478635860605822,0.0863169931869421,0.552150405877108,1.01495584799763,340
"p[2]",0.0898287706509848,0.132530958225341,0.0139281286943247,0.0300543017251712,0.0478635860605822,0.0863169931869421,0.552150405877108,1.01495584799763,340
"p[3]",0.253985060063842,0.114315752255275,0.100329135712049,0.167533683799294,0.231279436943857,0.317764414305126,0.532295053647805,1.00144043410579,5100
"p[4]",0.411819323999033,0.0994254104719562,0.246008521818117,0.337708431360495,0.403074547039677,0.477047066651131,0.626510097764236,1.00120712082772,9900
"p[5]",0.809480421330414,0.100042566410568,0.58379032833832,0.746760842055089,0.822899481977154,0.885550875255402,0.962104663966305,1.00107247056696,21000
"p[6]",0.413328348833166,0.105664971913015,0.224219582829984,0.337380632097884,0.407858473021938,0.48285008219685,0.634474392332678,1.00101715468111,40000
