"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Nsuper",13313.4252222222,492.61809100381,12457,12965.7499927692,13281,13611.2499931125,14384.0249991527,1.0214015564773,120
"delta[1]",0.0938593954440644,0.110417052130049,0.0111179206306556,0.0260414851404884,0.0552875856441485,0.117453373481994,0.410824316037304,1.32688508196495,12
"delta[2]",0.251689781242638,0.250425509363523,0.0507918969325341,0.101273342418274,0.167337672998569,0.307368068175799,0.945941752021809,1.21913410315478,16
"delta[3]",1.23165010945377,0.555914871174915,0.443234426012416,0.837899512723148,1.12643508295063,1.50406476056074,2.62595400751503,1.00831825352488,380
"delta[4]",1.06576153225129,0.445694208308356,0.303187169801332,0.764761164516455,1.02279293159279,1.31131680285864,2.08398827919369,1.0035390275796,2000
"delta[5]",1.48683378386212,0.593153629078804,0.640017366116683,1.0546553674097,1.38148520942659,1.80998340614214,2.93368663274409,1.00228961673825,1700
"delta[6]",0.419404274050337,0.247080353165179,0.0572131881499586,0.249270172365421,0.379613083083711,0.547850135394855,1.02726157811531,1.00096465334867,9000
"delta[7]",0.469207082782608,0.214142786226332,0.137406208434616,0.323083468608359,0.438606157262862,0.578509208718392,0.985231906584102,1.00088271548572,9000
"delta[8]",1.06436426858837,0.296332259526564,0.574203937144006,0.854529655433953,1.03833086604122,1.23629731697251,1.74072289097936,1.00148953931641,3500
"delta[9]",3.29863055206107,0.846788189780701,1.89414510963504,2.70238179225239,3.21535501747556,3.80360381196558,5.19483835835036,1.00198250565686,2100
"delta[10]",3.00542798060083,0.768706848846558,1.72369401626369,2.46025845938785,2.93766464328673,3.46273848632942,4.69671401824598,1.00134199224233,4400
"delta[11]",2.07196087356765,0.561745581833304,1.1462685347099,1.66859970201717,2.01113009302773,2.40146896064155,3.34619066609081,1.00184805414849,2300
"delta[12]",0.810573388917295,0.258300554095701,0.39143555242998,0.624552516224004,0.783086605209914,0.964204570488097,1.39850944908692,1.00154051446476,3300
"delta[13]",0.761285022343679,0.21127530937814,0.414342555322694,0.60959729870979,0.740174105743394,0.885451704264489,1.23896592660066,1.00123458257746,5500
"delta[14]",0.446369302711933,0.134489376021042,0.232830468204362,0.349656579886861,0.429629713538977,0.524097340124016,0.753823025848793,1.00173321817918,2600
"delta[15]",0.152312142362593,0.0705979504220984,0.0338435179985317,0.102572504846911,0.145518675171785,0.192267562735598,0.311132383636159,1.00104736202832,9000
"delta[16]",0.125835226644196,0.0719115925847483,0.0164475944108347,0.0736151955835089,0.114611957539879,0.165495048412753,0.296297727200195,1.00972050827985,320
"delta[17]",0.286941315736843,0.10315862657053,0.132867614487647,0.212651510747894,0.270167662893311,0.344336452174594,0.53425994136245,1.01076874664191,250
"deviance",425.184130589449,11.3991315400979,404.599964259697,417.352788064316,424.524181200807,432.30099659681,449.996961219231,1.01243425530781,220
"p[1]",0.386000364326372,0.297143978087339,0.0449303991272436,0.135738157971101,0.28139866327002,0.576299943353147,0.990678566232748,1.39456439284818,11
"p[2]",0.386000364326372,0.297143978087339,0.0449303991272436,0.135738157971101,0.28139866327002,0.576299943353147,0.990678566232748,1.39456439284818,11
"p[3]",0.496447060969466,0.175276291491589,0.20352973403408,0.358932063670395,0.48241698890874,0.622517077179569,0.849819745730456,1.00208781847543,1900
"p[4]",0.554702636537912,0.166312300359896,0.281900216906933,0.421136237954383,0.545996489150416,0.678445850683503,0.880824215043597,1.00263536761744,1300
"p[5]",0.422529589083191,0.14483279220579,0.196360284777234,0.310801355746678,0.405786004146347,0.516198006456646,0.746086757645717,1.00172800920622,2600
"p[6]",0.395876439210261,0.12335204014667,0.185137463844635,0.303840196587472,0.385059104433933,0.480295291907726,0.657998887060399,1.0019093419851,2200
"p[7]",0.485140548441927,0.108542455802996,0.285594294611749,0.406371542710569,0.482835084934551,0.559426746093147,0.706427887596867,1.00106010629916,8800
"p[8]",0.804142754134841,0.0698057650682549,0.654138664231755,0.759071764783424,0.80995894381217,0.854704380077066,0.924789078802278,1.00121564688057,5700
"p[9]",0.642639509560242,0.0508142538915076,0.542291373122873,0.608286240451781,0.643016105248199,0.677947711811339,0.740928827130713,1.00127653771837,5000
"p[10]",0.713195975702761,0.0349114611061119,0.64184108701415,0.690344699451389,0.714147403162284,0.73725046873214,0.779345168121367,1.00109339753728,7900
"p[11]",0.469611948909985,0.0347487762112119,0.401844638165046,0.446101403477489,0.469509627857744,0.49351045484724,0.537322933673723,1.00103260720922,9000
"p[12]",0.667857154132381,0.0345102410595422,0.598801702677168,0.645061159645864,0.667900073186496,0.691770087331075,0.733950875501485,1.0008934749743,9000
"p[13]",0.701804162400796,0.0438656836264207,0.61321709884527,0.672991083682109,0.702267127146555,0.732423432552997,0.785080948051235,1.00092497179803,9000
"p[14]",0.589140256022908,0.051305287633616,0.487593258015584,0.55426417916155,0.589729990322245,0.624607268800058,0.686528735435249,1.00110527044817,7600
"p[15]",0.399797495681772,0.0508864419675374,0.309174669044994,0.364187861125889,0.396011694836216,0.432164416125804,0.507941453420098,1.00358201045411,890
"p[16]",0.253567865860578,0.0477308549872318,0.169031211841344,0.218259052047871,0.249116092048465,0.289182724119624,0.350356355662015,1.10475375396353,32
"p[17]",0.253567865860578,0.0477308549872318,0.169031211841344,0.218259052047871,0.249116092048465,0.289182724119624,0.350356355662015,1.10475375396353,32
"pent[1]",0.00546525521414192,0.0061539939812153,0.000754512363148695,0.00159984546364264,0.00329328132368892,0.00703293278443418,0.0222362531989937,1.34675053781215,12
"pent[2]",0.0146731775556061,0.0137800393144795,0.00363549028616846,0.00618317824073719,0.00987132941228524,0.0181303301794645,0.0521886262297746,1.23976680318676,15
"pent[3]",0.0722892119679142,0.0268996477339921,0.0306964016680384,0.0536070248957659,0.0674925951699139,0.0863518562843704,0.137105375577666,1.02008597400245,180
"pent[4]",0.0625713090882322,0.0204710366627133,0.0189768245973221,0.0502203022027367,0.0627502466333934,0.0752407060993231,0.103385404622558,1.003608570556,2300
"pent[5]",0.0872599121669934,0.0269642388758404,0.046384305814405,0.0673003444519022,0.0828857034983487,0.103657419188481,0.149268685764183,1.00111307643553,7400
