"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Nsuper",12139.3471555556,748.279070256885,10974,11614,12037,12551,13890,1.01820278669121,160
"delta[1]",0.110882184207709,0.181767511139583,0.00411635335988888,0.0215576539847583,0.0507391460289575,0.121469955030591,0.597265862134168,1.02429039456798,120
"delta[2]",0.346449190935504,0.41833922678641,0.0144194103772878,0.086158547675103,0.201543659039541,0.439662916718234,1.52498420032374,1.01650310292116,160
"delta[3]",0.103835182911454,0.192234850071045,0.00137780954381201,0.0159022422226238,0.0420557820659403,0.1061754781754,0.62710825491622,1.07521219655046,40
"delta[4]",0.824263406296604,0.523706169575452,0.204063804812162,0.4751270298416,0.686596919614649,1.02604720808971,2.21310317176652,1.0186692810027,180
"delta[5]",0.723050330315606,0.288988327573101,0.156659928087013,0.536437638950852,0.712294800508786,0.897810409793946,1.345710067283,1.00561960335712,560
"delta[6]",1.17075334026301,0.346168968414751,0.612292869180853,0.922359760922722,1.12941915070409,1.37424123584038,1.96709105908224,1.00807718225838,350
"delta[7]",1.17861350475545,0.370905496578069,0.592953362745584,0.913024740061203,1.12998519897306,1.38969947352421,2.03353422994074,1.00762410246415,380
"delta[8]",0.256324033097312,0.148632762151022,0.0283701245498914,0.150341085295978,0.236347262923033,0.338255960677506,0.603530690212445,1.0021454751011,2100
"delta[9]",1.00074218675139,0.381579775480816,0.4653857280618,0.735257594703693,0.933826276199074,1.18577555418801,1.94175572381094,1.00618585246264,480
"delta[10]",1.07820209703983,0.384388721992294,0.492788346509523,0.806957178591043,1.02362690896119,1.28813157608441,1.98121698693108,1.00513341924419,600
"delta[11]",2.2257858105056,0.628079614907507,1.19140785397278,1.7759893000043,2.15939227478044,2.60495616163621,3.62886872225762,1.00929853867148,300
"delta[12]",2.58673952545973,0.714729839258223,1.40358537787119,2.07435587090936,2.51062382232416,3.02012940024639,4.17298772633941,1.00963345497633,290
"delta[13]",2.22556918812685,0.61125808308641,1.2181186623489,1.78794426160347,2.16224515962524,2.59316875682313,3.59243843631942,1.00979029576458,290
"delta[14]",1.57181375227667,0.778171319944081,0.404827514928115,1.00028133313038,1.4608595854465,2.01904812662384,3.40111776175276,1.00199149162404,2400
"delta[15]",0.46558997583277,0.32520586388412,0.0234536982504593,0.214329231309612,0.412959664939038,0.654417355484332,1.23732080453611,1.00242261411622,1700
"delta[16]",0.0595521930723816,0.0361429073143007,0.00456819634282143,0.0325957229959152,0.0553695776865561,0.0808371698376795,0.141475866514122,1.00195541930609,2500
"deviance",343.616379248727,10.9036383675548,324.050894475843,335.9734641709,343.008930281432,350.594562031675,366.736698193291,1.00895384766811,320
"p[1]",0.0567813503177128,0.0530489627108774,0.00368772244005938,0.0172024465524798,0.0399201948573192,0.0795941279049195,0.199566186221997,1.05005993650877,61
"p[2]",0.0567813503177128,0.0530489627108774,0.00368772244005938,0.0172024465524798,0.0399201948573192,0.0795941279049195,0.199566186221997,1.05005993650877,61
"p[3]",0.286443231914138,0.259907142441094,0.0165368445287174,0.0928017727930477,0.194854884979652,0.416233894611818,0.96600265077005,1.25818639762374,15
"p[4]",0.671287860903861,0.25774543015496,0.195476934572392,0.453375811797687,0.706721552657589,0.916835350627367,0.999113306116986,1.00175081683966,3100
"p[5]",0.653425130872233,0.0931813958257509,0.465129008907703,0.590392093650643,0.656195482544485,0.719643985092353,0.82624206238089,1.00102832748634,34000
"p[6]",0.721833827070554,0.0862252254373153,0.542628884788446,0.664112570678148,0.726549322314974,0.784187969918589,0.874595636695886,1.00110245780257,17000
"p[7]",0.534848746298429,0.089770561815657,0.367716346410249,0.471879858207498,0.532941312140159,0.596086474940699,0.713156017627564,1.00099819832864,45000
"p[8]",0.611299837074879,0.143387103485987,0.335866807801298,0.506923331108197,0.614024223174759,0.717973502444497,0.874790418870143,1.00099734743529,45000
"p[9]",0.667072001194888,0.179184384857905,0.306341937461533,0.53684053348152,0.679124580209718,0.809460996152101,0.960609669729976,1.00126841722686,8000
"p[10]",0.593170087362365,0.110107046271661,0.375593780005676,0.517245874177886,0.594761796092657,0.670360096663155,0.802434493121402,1.0012957071082,7300
"p[11]",0.681484257721697,0.0584470583828755,0.563105031994674,0.642464460603211,0.683031239755996,0.721972351581122,0.792360610905685,1.00097276308654,45000
"p[12]",0.702384499774253,0.0393253684151216,0.622817240199778,0.676219681582382,0.703301854934375,0.729474517261376,0.77704577625428,1.00105015548406,26000
"p[13]",0.757517399268662,0.0577440345298219,0.636701508722414,0.720216492090072,0.760260910733248,0.798409006582829,0.861877327493554,1.0009789588129,45000
"p[14]",0.0166690553412356,0.00940945122766063,0.00494399318334186,0.00995873084730138,0.014580159852917,0.0209940947606485,0.0404664759723285,1.00160135797393,3900
"p[15]",0.815881666620304,0.0890974268066564,0.622757517570411,0.757825854632426,0.823672847884286,0.883141747608576,0.960995385007414,1.00130514378621,7100
"p[16]",0.815881666620304,0.0890974268066564,0.622757517570411,0.757825854632426,0.823672847884286,0.883141747608576,0.960995385007414,1.00130514378621,7100
"pent[1]",0.00699116188631108,0.0109895951146199,0.000280575669331117,0.0014213755281414,0.00327116232734112,0.0077512761987663,0.0372515345259128,1.02971509370815,94
"pent[2]",0.0218373444341423,0.0253047942782012,0.000983262117244828,0.00572521020849604,0.0130116574452767,0.0280786166568848,0.0940851178263338,1.02121507753358,130
"pent[3]",0.00660721359739589,0.0117632322324566,8.92614752560101e-05,0.00103771845828359,0.00273358658305057,0.00686961067643502,0.0396977950818729,1.08381362069899,37
"pent[4]",0.0518030521031632,0.0295511088705683,0.0153059423296996,0.0318984526922544,0.0438366181611069,0.0636559154775663,0.130493888666403,1.0168966161703,250
"pent[5]",0.0453395201159729,0.0134099522515061,0.0111278207502104,0.0392080378995959,0.0473379099192597,0.053947645627906,0.0673095349826238,1.00295332655332,1500
"pent[6]",0.0734734605128917,0.0105355504078755,0.0546568958775458,0.0662018438754361,0.072785160863644,0.0799850149260449,0.0961705072153408,1.00331165215328,1100
"pent[7]",0.0739576996546133,0.0129834215603136,0.051224377539653,0.0647837939599226,0.0729978427240924,0.0822049172526559,0.101993463958697,1.00286660006177,1300
"pent[8]",0.0160807744319398,0.00812596749005146,0.00195280662624266,0.0103203973522732,0.0156386116062386,0.0210946446255362,0.0336510196515495,1.0010990415293,17000
"pent[9]",0.0628353294701815,0.0172948378084568,0.0394793246868649,0.0508976971587902,0.0593315572386848,0.0707725122071297,0.106077724336484,1.00219029708791,2000
"pent[10]",0.0676669331891131,0.0163140182610465,0.0403650584094938,0.0567813039838658,0.0659474204351529,0.0767181795634337,0.104860283937793,1.0016747025021,3500
"pent[11]",0.139709514157622,0.0163072196530018,0.108938445766009,0.128684055026161,0.139272969447953,0.150174308564389,0.172934192160032,1.00547895642055,560
"pent[12]",0.162335938700812,0.0162339562403931,0.130335064378223,0.151472000386929,0.162368003566519,0.173308539220137,0.193939878969724,1.00697520422399,420
"pent[13]",0.139685704903652,0.0134495230740988,0.113692529108383,0.130636458141547,0.139453192154585,0.148537874629502,0.166741139581383,1.00767184292492,380
"pent[14]",0.0987217886124592,0.0407210739363775,0.0287145806083584,0.0686563410768968,0.0965026463489604,0.12529574401649,0.185654031328892,1.00117296805012,11000
"pent[15]",0.0292141566959179,0.0183453042675907,0.00156407831134532,0.0144862460288394,0.0273728568344761,0.0416513593225577,0.0687879253032787,1.00151578717181,4500
"pent[16]",0.00374040753381245,0.00198989375198551,0.00030193303968697,0.00223170491678582,0.00371454952758937,0.00511464463508912,0.00773012226164638,1.0011627469969,12000
"phi[1]",0.340482570855432,0.337256788894179,0.00021600101864084,0.0373818507872412,0.210588461714962,0.61669310732895,0.994643268546905,1.00372884145342,920
"phi[2]",0.558913996279068,0.311031059597009,0.047204788254919,0.279938900431651,0.563033105260692,0.860578917259607,0.998430869681542,1.0974716538244,38
"phi[3]",0.15042410880511,0.116682311749418,0.0121295983077312,0.0627542076452708,0.120611403212213,0.208689771749956,0.445865797022313,1.0034124782811,1000
"phi[4]",0.710018392237757,0.0964520138981102,0.5425980936966,0.642278238179228,0.701721533737968,0.768723760261173,0.930783470847125,1.00108515177299,19000
"phi[5]",0.442354774815718,0.0630536199066472,0.33124687232349,0.39835227890722,0.437952324546539,0.481375112555609,0.578839983242411,1.00110058635336,17000
"phi[6]",0.467391537791295,0.0853248835428072,0.327235848747068,0.40801754191299,0.458275087128974,0.516330618596721,0.659353359449989,1.00100444388376,45000
"phi[7]",0.579837984695339,0.159389477849797,0.329182773485325,0.463362492328994,0.554910151679635,0.671271721389205,0.96394393784072,1.0010683810219,22000
"phi[8]",0.322329788990531,0.123392471772078,0.149198534856365,0.236965165729811,0.29963305033391,0.380933371918625,0.631046279981315,1.00109904739562,17000
"phi[9]",0.238160597245476,0.0492077852797841,0.151581316582339,0.203547505212758,0.234729544779885,0.268798953262693,0.344216923038591,1.00098575202642,45000
"phi[10]",0.676397061725837,0.0550369130144757,0.57065281172367,0.638896730598201,0.675709264755971,0.713606599986583,0.785962712645483,1.00097416675994,45000
"phi[11]",0.650548040559885,0.0362824226861606,0.582181919664806,0.625572245820796,0.649758641262591,0.674395411355581,0.724482332059836,1.00099380746551,45000
"phi[12]",0.515407548006271,0.0435023935344499,0.440741628696391,0.484993386508968,0.511774391009185,0.541809451315692,0.611126946003946,1.00100609962372,45000
"phi[13]",0.483219233674427,0.213865277825467,0.20830195860439,0.316040197956207,0.426394652628238,0.605670679084914,0.982346515060583,1.00122887274674,9100
"phi[14]",0.453868955303907,0.189747411079523,0.178368832673883,0.302562569986628,0.428796557462605,0.577505585297838,0.889389547160605,1.00125389889322,8300
"phi[15]",0.205160261752142,0.0502986906309394,0.116235333119528,0.169519550737994,0.201917259462442,0.236952467240276,0.313291268458134,1.00097429891216,45000
