"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Nsuper",6897.66248888889,270.349610064569,6450,6708.99999999999,6870,7054,7508,1.00173043792155,3200
"delta[1]",0.0436021864280228,0.0304007671704999,0.00998368707071689,0.0224817747144432,0.035379221347294,0.0557975961548729,0.12390177658788,1.00104069885525,29000
"delta[2]",0.735578935698439,0.483787811322926,0.183800339678524,0.399242383928554,0.611249071291147,0.93121831215716,2.00110010481486,1.00127754683801,7700
"delta[3]",0.137952911454532,0.092629489584442,0.00742357616687064,0.0674836254292377,0.126406234455147,0.190668818546494,0.351578085253791,1.00107770479936,20000
"delta[4]",1.52874440559942,0.502859576332963,0.773680425295706,1.16878113419688,1.449383788525,1.80293355477125,2.72879917844802,1.00116519141696,12000
"delta[5]",0.682309396352703,0.322812786290027,0.111089848351446,0.462684195433658,0.655591637198728,0.870692644433928,1.39847848714429,1.001096689962,18000
"delta[6]",0.47493439799692,0.193123990834442,0.200282644614613,0.344764863286539,0.442752947858341,0.567417754030213,0.942133591400237,1.00105727207009,24000
"delta[7]",1.68039660288799,0.674982339260008,0.691927533904622,1.18487388549743,1.56984890417712,2.05963440677338,3.27986169049572,1.00115928842983,12000
"delta[8]",0.579627554783904,0.321997208988239,0.0513140383850211,0.344450686142548,0.554717737335548,0.780335925694302,1.29524153708778,1.00143021480378,5300
"delta[9]",1.97398545245222,0.488044559459858,1.14594028705792,1.62640789711924,1.92901591785582,2.27788252093335,3.04978294027331,1.00102598849451,35000
"delta[10]",3.2826811487823,0.786316395739216,1.9257560329362,2.72204624480327,3.22014023221264,3.77900836184715,4.99803496640467,1.00102816252749,34000
"delta[11]",3.44649840419389,0.839818294200168,2.02022232582337,2.84635379407242,3.37664358553264,3.9684782211407,5.28907920290664,1.00098334269987,45000
"delta[12]",1.61289686304815,0.450870684249455,0.866696007045223,1.28955326556547,1.56604701743793,1.88530856223413,2.6202749202792,1.00101750675757,39000
"delta[13]",0.854441260296123,0.264049215591155,0.421074936228432,0.665923840724814,0.82661778801655,1.01324669461884,1.45054400474079,1.0010306963368,33000
"delta[14]",0.551089585564983,0.169979459139662,0.273321456646673,0.429805918006108,0.532733758422591,0.653241969466076,0.9340381966702,1.00105180749366,26000
"delta[15]",0.750349355260247,0.208344933816319,0.409720511223025,0.599926282505523,0.726704151607591,0.875888695627446,1.21507187842593,1.00097855908541,45000
"delta[16]",0.238068397215749,0.107488286228345,0.0598800652726314,0.162331326540635,0.226072028127936,0.300808163576272,0.483704239001616,1.00098193730948,45000
"delta[17]",0.182617277552289,0.0899505621120935,0.0334407027815911,0.119302158464008,0.172720938025471,0.235261770270309,0.387140755149723,1.00106398878303,23000
"delta[18]",0.0832565111872029,0.0660283437522697,0.00421992479947652,0.0360716914120552,0.0685936211278721,0.113141119919474,0.250357090233775,1.00196089702024,2500
"delta[19]",0.077384643307374,0.0713499534728003,0.00352422073762304,0.0292393966063644,0.0581180871544967,0.103227488759871,0.265769913123898,1.00124329916128,8700
"deviance",417.412494784134,11.4911108250757,396.722961664533,409.295902695723,416.796779289985,424.810330146642,441.51493111839,1.00105205172883,26000
"p[1]",0.544967153252378,0.244903374096347,0.200298535907011,0.338639153242643,0.486034210501642,0.744573316754385,0.996042325540387,1.00102767177451,34000
"p[2]",0.544967153252378,0.244903374096347,0.200298535907011,0.338639153242643,0.486034210501642,0.744573316754385,0.996042325540387,1.00102767177451,34000
"p[3]",0.681799044107768,0.171382343387847,0.347074338162781,0.553825014344933,0.69024021422759,0.82052258896843,0.964237284150201,1.00101055127225,44000
"p[4]",0.679085656929785,0.167474833555355,0.365595441964958,0.55015666425527,0.686487857499835,0.813109965799956,0.961945545873419,1.00121074285782,9700
"p[5]",0.513356080787833,0.15723466222492,0.251123667644917,0.388575238055751,0.506309046044903,0.628222644306258,0.824600852867945,1.00097975141762,45000
"p[6]",0.859690312564836,0.154182664086213,0.453121461486497,0.786508771542581,0.917316197880116,0.980099047868003,0.999824595269422,1.00104330413511,28000
"p[7]",0.250725395163466,0.10250594280763,0.117459351371047,0.175491053225608,0.227869894496994,0.302161862256509,0.509449290079812,1.00137426322062,6000
"p[8]",0.838186591577484,0.0882539668000431,0.634227831243789,0.785025642309941,0.851223403255735,0.905057553570878,0.968994190753567,1.00098211615893,45000
"p[9]",0.802339678695908,0.058013294270518,0.677718761427199,0.765215271153594,0.806329879619366,0.844096706858943,0.903299271342015,1.00103462000993,31000
"p[10]",0.80657334767056,0.0400005706424586,0.723871076502709,0.780226671069471,0.808514148852106,0.834819531002006,0.879375793335551,1.00105618727343,24000
"p[11]",0.607292866761272,0.0408741162533078,0.526655558850845,0.579718901810485,0.607492128764349,0.635320661428665,0.686538995771975,1.00107805867652,20000
"p[12]",0.547520929162702,0.0417571465011912,0.465525714391515,0.519629497549559,0.547442764666639,0.575874144359037,0.629074948123633,1.00095417931561,45000
"p[13]",0.636881449358797,0.0455976734030877,0.546236323165609,0.605916477441645,0.637796379464999,0.668182597515428,0.723664970967354,1.00096512022621,45000
"p[14]",0.703295208452967,0.0585791074961983,0.58194251853087,0.665047713298174,0.706076043328229,0.74434017903767,0.809696545122397,1.00097233569543,45000
"p[15]",0.749712316570573,0.0674244093867566,0.610183939837088,0.704954868076331,0.753139552440597,0.79820729990549,0.870818427629348,1.00101289014137,43000
"p[16]",0.514393609687677,0.0781117206870268,0.369721093422721,0.45936044580805,0.511581016735552,0.566450272171973,0.673611881965968,1.00096705240725,45000
"p[17]",0.570453526278276,0.113051099013699,0.367939265852683,0.48654322569635,0.565481760845227,0.649368812301807,0.797410083475397,1.00209208322847,2200
"p[18]",0.335967226759059,0.135109188971476,0.141115070892601,0.236426902073685,0.319465954804026,0.400115109542757,0.667153323320726,1.03365668424486,140
"p[19]",0.335967226759059,0.135109188971476,0.141115070892601,0.236426902073685,0.319465954804026,0.400115109542757,0.667153323320726,1.03365668424486,140
"pent[1]",0.00230252707041265,0.00147549844988506,0.000594610646139786,0.00125435458435952,0.0019136269968312,0.00295882271773164,0.00607961918961586,1.00102507006058,35000
"pent[2]",0.0388749116907079,0.0233504338218217,0.0110871393953732,0.02218701565779,0.0330820163429002,0.0492397712186563,0.0991050893372303,1.0012484016612,8500
"pent[3]",0.00729401772725872,0.00448905466751156,0.000409144149353697,0.00376578494811132,0.00709995815132386,0.0100843724649317,0.0169845324345926,1.00112434358081,15000
"pent[4]",0.08084175465804,0.0189643677095988,0.0531531813436653,0.0668099891098022,0.0774633300170221,0.0916088333857968,0.125887740387143,1.00119727454751,10000
"pent[5]",0.0360811776261983,0.0146364987710799,0.00626988376033377,0.026811343596916,0.0362390180247823,0.0453700535372522,0.0657170475928719,1.00115419861271,13000
"pent[6]",0.0250977260730539,0.00825131818776691,0.0127397535141373,0.0198820159060168,0.023911834948957,0.0287848164170674,0.0450609301041953,1.00103095030659,33000
"pent[7]",0.0888190143989737,0.0286369470470938,0.043395057072408,0.0671682984123888,0.0852971013412524,0.107211861830399,0.152032010034225,1.00133587917204,6600
"pent[8]",0.0306439412199529,0.0151369821138348,0.00284255009854583,0.0194677202232595,0.03091182667906,0.0413325957372033,0.0599014123268449,1.00143561425215,5200
"pent[9]",0.104349035371637,0.00986150793464075,0.0859246811389644,0.0977052145620262,0.103962836036514,0.110504294763003,0.12499330661447,1.00138067151106,5900
"pent[10]",0.173540153791108,0.0129782033143375,0.14864699116536,0.164659605922409,0.173335620177373,0.18219551121086,0.19941258638594,1.00126909372087,7900
